Time resolution is 1 ps
Time: 0 | X1: 0 X2: 0 | Z1: 0 Z2: 0 Z3: 0 Z4: 0 Z5: 0 Z6: 0 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 20000 | X1: 1 X2: 0 | Z1: 0 Z2: 0 Z3: 0 Z4: 0 Z5: 0 Z6: 0 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 25000 | X1: 1 X2: 0 | Z1: 1 Z2: 0 Z3: 0 Z4: 0 Z5: 0 Z6: 0 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 30000 | X1: 0 X2: 1 | Z1: 1 Z2: 0 Z3: 0 Z4: 0 Z5: 0 Z6: 0 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 35000 | X1: 0 X2: 1 | Z1: 1 Z2: 1 Z3: 0 Z4: 0 Z5: 0 Z6: 0 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 40000 | X1: 1 X2: 0 | Z1: 1 Z2: 1 Z3: 0 Z4: 0 Z5: 0 Z6: 0 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 45000 | X1: 1 X2: 0 | Z1: 1 Z2: 1 Z3: 1 Z4: 0 Z5: 0 Z6: 0 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 55000 | X1: 1 X2: 0 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 0 Z6: 0 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 60000 | X1: 0 X2: 1 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 0 Z6: 0 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 65000 | X1: 0 X2: 1 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 0 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 75000 | X1: 0 X2: 1 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 80000 | X1: 1 X2: 0 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 85000 | X1: 1 X2: 0 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 1 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 90000 | X1: 0 X2: 1 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 1 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 95000 | X1: 0 X2: 1 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 1 Z8: 1 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 100000 | X1: 1 X2: 0 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 1 Z8: 1 Z9: 0 Z10: 0 Z11: 0 Z12: 0
Time: 105000 | X1: 1 X2: 0 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 1 Z8: 1 Z9: 1 Z10: 0 Z11: 0 Z12: 0
Time: 110000 | X1: 0 X2: 1 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 1 Z8: 1 Z9: 1 Z10: 0 Z11: 0 Z12: 0
Time: 115000 | X1: 0 X2: 1 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 1 Z8: 1 Z9: 1 Z10: 1 Z11: 0 Z12: 0
Time: 120000 | X1: 1 X2: 0 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 1 Z8: 1 Z9: 1 Z10: 1 Z11: 0 Z12: 0
Time: 125000 | X1: 1 X2: 0 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 1 Z8: 1 Z9: 1 Z10: 1 Z11: 1 Z12: 0
Time: 130000 | X1: 0 X2: 0 | Z1: 1 Z2: 1 Z3: 1 Z4: 1 Z5: 1 Z6: 1 Z7: 1 Z8: 1 Z9: 1 Z10: 1 Z11: 1 Z12: 0
Time: 135000 | X1: 0 X2: 0 | Z1: 0 Z2: 0 Z3: 0 Z4: 0 Z5: 0 Z6: 0 Z7: 0 Z8: 0 Z9: 0 Z10: 0 Z11: 0 Z12: 0
